x_value,total_1,total_2
203,1215,1019
204,1209,1017
205,1206,1017
206,1204,1014
207,1207,1014
208,1209,1016
209,1203,1022
210,1207,1020
211,1212,1020
212,1206,1016
213,1212,1020
214,1213,1021
215,1218,1023
216,1222,1024
217,1227,1030
218,1232,1026
219,1226,1029
220,1228,1034
221,1229,1036
222,1229,1036
223,1228,1038
224,1223,1042
225,1228,1038
226,1233,1035
227,1234,1033
228,1230,1038
229,1232,1043
230,1227,1046
231,1228,1044
232,1225,1043
233,1219,1048
234,1225,1045
235,1226,1045
236,1222,1042
237,1222,1041
238,1224,1047
239,1222,1046
240,1224,1042
241,1218,1041
242,1224,1037
243,1218,1034
244,1226,1037
245,1229,1043
246,1234,1048
247,1231,1054
248,1226,1060
249,1229,1062
250,1227,1058
251,1226,1054
252,1233,1058
253,1235,1055
254,1234,1054
255,1241,1056
256,1241,1060
257,1240,1065
258,1241,1070
259,1241,1074
260,1238,1079
261,1242,1077
262,1249,1073
263,1251,1074
264,1250,1077
265,1258,1081
266,1259,1084
267,1267,1090
268,1275,1093
269,1280,1091
270,1282,1097
271,1277,1097
272,1271,1099
273,1265,1099
274,1270,1101
275,1270,1099
276,1270,1104
277,1271,1099
278,1270,1104
279,1267,1103
280,1268,1104
281,1269,1109
282,1271,1105
283,1265,1103
284,1269,1099
285,1274,1095
286,1270,1090
287,1266,1091
288,1267,1088
289,1271,1087
290,1272,1084
291,1275,1080
292,1276,1080
293,1274,1078
294,1268,1073
295,1263,1072
296,1266,1078
297,1269,1084
298,1269,1085
299,1267,1087
300,1261,1093
301,1267,1098
302,1272,1101
303,1278,1101
304,1274,1097
305,1273,1103
306,1274,1099
307,1277,1104
308,1272,1109
309,1277,1108
310,1281,1107
311,1279,1103
312,1275,1099
313,1278,1105
314,1280,1101
315,1287,1107
316,1283,1112
317,1287,1110
318,1291,1114
319,1291,1116
320,1295,1121
321,1303,1121
322,1298,1123
323,1295,1125
324,1302,1121
325,1303,1118
326,1310,1117
327,1310,1122
328,1307,1128
329,1313,1133
330,1307,1129
331,1314,1131
332,1316,1136
333,1316,1131
334,1312,1134
335,1309,1139
336,1315,1142
337,1319,1145
338,1317,1144
339,1318,1144
340,1326,1145
341,1323,1145
342,1326,1148
343,1334,1153
344,1330,1153
345,1332,1150
346,1340,1154
347,1336,1150
348,1331,1155
349,1326,1160
350,1323,1158
351,1322,1153
352,1323,1159
353,1330,1165
354,1330,1171
355,1334,1173
356,1336,1168
357,1331,1163
358,1332,1161
359,1335,1165
360,1334,1169
361,1340,1174
362,1337,1178
363,1334,1177
364,1337,1174
365,1334,1179
366,1334,1184
367,1332,1183
368,1330,1183
369,1331,1179
370,1332,1177
371,1333,1182
372,1334,1187
373,1328,1189
374,1325,1193
375,1323,1193
376,1328,1191
377,1331,1193
378,1337,1196
379,1341,1193
380,1337,1189
381,1336,1188
382,1332,1191
383,1331,1196
384,1328,1198
385,1331,1200
386,1326,1204
387,1331,1203
388,1328,1200
389,1323,1204
390,1327,1205
391,1327,1201
392,1325,1197
393,1327,1199
394,1321,1204
395,1326,1208
396,1328,1212
397,1325,1208
398,1321,1212
399,1329,1215
400,1336,1215
401,1340,1221
402,1338,1224
403,1344,1221
404,1341,1222
405,1349,1226
406,1353,1223
407,1354,1228
408,1350,1225
409,1348,1220
410,1344,1224
411,1338,1224
412,1346,1223
413,1354,1229
414,1354,1227
415,1358,1225
416,1366,1228
417,1372,1226
418,1376,1226
419,1384,1225
420,1383,1221
421,1381,1217
422,1385,1214
423,1386,1219
424,1392,1215
425,1388,1215
426,1387,1216
427,1395,1216
428,1399,1219
429,1397,1220
430,1392,1215
431,1390,1211
432,1395,1213
433,1398,1213
434,1392,1212
435,1395,1217
436,1390,1216
437,1398,1217
438,1403,1220
439,1397,1224
440,1399,1219
441,1405,1217
442,1405,1220
443,1412,1217
444,1414,1218
445,1415,1222
446,1422,1226
447,1426,1229
448,1428,1226
449,1431,1227
450,1431,1224
451,1438,1224
452,1444,1222
453,1443,1223
454,1448,1220
455,1447,1225
456,1445,1220
457,1445,1226
458,1452,1223
459,1448,1227
460,1449,1223
461,1457,1229
462,1464,1231
463,1472,1237
464,1474,1238
465,1477,1244
466,1483,1244
467,1491,1250
468,1486,1256
469,1491,1258
470,1487,1262
471,1494,1263
472,1497,1261
473,1503,1259
474,1504,1259
475,1500,1260
476,1496,1260
477,1504,1255
478,1504,1255
479,1510,1251
480,1507,1256
481,1515,1254
482,1522,1254
483,1530,1259
484,1524,1256
485,1532,1255
486,1531,1257
487,1527,1257
488,1534,1256
489,1531,1255
490,1539,1260
491,1540,1266
492,1534,1261
493,1533,1263
494,1539,1260
495,1539,1259
496,1537,1259
497,1544,1254
498,1552,1258
499,1549,1253
500,1547,1251
501,1546,1251
502,1542,1248
503,1544,1251
504,1539,1255
505,1540,1253
506,1540,1255
507,1545,1258
508,1542,1258
509,1545,1255
510,1541,1261
511,1545,1260
512,1553,1256
513,1549,1251
514,1553,1252
515,1556,1250
516,1553,1246
517,1555,1245
518,1560,1241
519,1564,1239
520,1562,1238
521,1565,1242
522,1569,1244
523,1571,1243
524,1568,1240
525,1567,1244
526,1565,1243
527,1563,1238
528,1562,1244
529,1560,1249
530,1558,1248
531,1554,1250
532,1558,1250
533,1553,1255
534,1552,1251
535,1548,1247
536,1543,1242
537,1542,1244
538,1549,1247
539,1552,1250
540,1553,1254
541,1559,1259
542,1560,1265
543,1562,1264
544,1561,1267
545,1558,1264
546,1565,1270
547,1568,1271
548,1566,1274
549,1564,1269
550,1563,1274
551,1557,1276
552,1554,1271
553,1558,1269
554,1554,1272
555,1561,1274
556,1556,1274
557,1554,1270
558,1548,1266
559,1549,1266
560,1544,1265
561,1547,1268
562,1547,1272
563,1555,1272
564,1551,1271
565,1552,1269
566,1559,1266
567,1561,1271
568,1559,1275
569,1564,1272
570,1558,1271
571,1557,1274
572,1558,1270
573,1564,1275
574,1572,1276
575,1577,1281
576,1579,1286
577,1585,1281
578,1583,1283
579,1581,1285
580,1589,1281
581,1583,1276
582,1591,1282
583,1586,1283
584,1588,1284
585,1585,1280
586,1586,1277
587,1584,1280
588,1587,1283
589,1594,1281
590,1593,1285
591,1597,1286
592,1605,1283
593,1610,1284
594,1609,1287
595,1604,1284
596,1606,1286
597,1605,1284
598,1605,1283
599,1604,1282
600,1605,1277
601,1610,1274
602,1613,1273
603,1609,1278
604,1614,1283
605,1620,1279
606,1616,1277
607,1621,1280
608,1619,1284
609,1627,1283
610,1634,1284
611,1642,1283
612,1639,1278
613,1638,1282
614,1642,1280
615,1650,1284
616,1658,1284
617,1658,1281
618,1660,1287
619,1656,1291
620,1661,1287
621,1666,1283
622,1669,1284
623,1668,1279
624,1665,1282
625,1660,1278
626,1664,1284
627,1671,1279
628,1665,1285
629,1664,1288
630,1667,1283
631,1662,1278
632,1668,1279
633,1675,1278
634,1673,1280
635,1679,1283
636,1685,1279
637,1692,1280
638,1690,1275
639,1686,1281
640,1680,1277
641,1686,1282
642,1691,1282
643,1696,1288
644,1693,1285
645,1695,1280
646,1700,1283
647,1699,1280
648,1694,1280
649,1694,1281
650,1694,1282
651,1691,1286
652,1699,1290
653,1694,1294
654,1692,1299
655,1686,1298
656,1692,1299
657,1693,1302
658,1693,1308
659,1700,1309
660,1703,1310
661,1702,1306
662,1697,1312
663,1700,1310
664,1706,1312
665,1708,1310
666,1716,1309
667,1716,1315
668,1712,1321
669,1716,1322
670,1712,1322
671,1710,1319
672,1713,1318
673,1721,1313
674,1717,1319
675,1716,1316
676,1718,1314
677,1725,1312
678,1730,1307
679,1729,1312
680,1728,1315
681,1728,1311
682,1725,1310
683,1725,1310
684,1719,1309
685,1718,1311
686,1714,1312
687,1715,1316
688,1715,1322
689,1723,1324
690,1720,1321
691,1716,1317
692,1719,1320
693,1714,1325
694,1721,1323
695,1728,1319
696,1723,1317
697,1726,1315
698,1731,1311
699,1731,1307
700,1733,1302
701,1730,1308
702,1724,1312
703,1718,1310
704,1725,1310
705,1725,1316
706,1720,1320
707,1724,1319
708,1722,1323
709,1720,1318
710,1714,1318
711,1713,1319
712,1714,1318
713,1715,1322
714,1714,1324
715,1716,1327
716,1717,1333
717,1715,1332
718,1712,1328
719,1707,1331
720,1712,1327
721,1707,1322
722,1711,1326
723,1708,1323
724,1703,1323
725,1697,1320
726,1702,1323
727,1702,1324
728,1701,1328
729,1707,1324
730,1711,1323
731,1716,1328
732,1712,1331
733,1709,1337
734,1711,1332
735,1710,1332
736,1708,1338
737,1702,1340
738,1701,1346
739,1700,1349
740,1701,1344
741,1698,1341
742,1698,1338
743,1695,1334
744,1695,1333
745,1695,1337
746,1703,1338
747,1702,1341
748,1697,1346
749,1696,1346
750,1702,1344
751,1706,1350
752,1705,1352
753,1703,1354
754,1710,1356
755,1704,1362
756,1699,1361
757,1695,1367
758,1702,1369
759,1698,1372
760,1692,1369
761,1697,1374
762,1697,1375
763,1701,1371
764,1709,1376
765,1716,1371
766,1712,1368
767,1717,1363
768,1720,1369
769,1720,1372
770,1724,1376
771,1726,1379
772,1733,1385
773,1737,1386
774,1743,1390
775,1743,1394
776,1745,1400
777,1742,1398
778,1741,1402
779,1737,1398
780,1745,1401
781,1753,1399
782,1754,1404
783,1756,1408
784,1760,1411
785,1755,1411
786,1762,1408
787,1758,1409
788,1763,1407
789,1759,1406
790,1760,1403
791,1757,1407
792,1759,1404
793,1757,1405
794,1762,1402
795,1761,1407
796,1762,1403
797,1761,1402
798,1762,1406
799,1764,1408
800,1770,1410
801,1777,1407
802,1779,1404
803,1775,1406
804,1774,1403
805,1779,1400
806,1784,1405
807,1787,1409
808,1791,1405
809,1796,1401
810,1800,1397
811,1794,1402
812,1788,1405
813,1785,1401
814,1783,1402
815,1777,1400
816,1779,1397
817,1774,1392
818,1775,1387
819,1777,1387
820,1782,1382
821,1785,1377
822,1789,1382
823,1797,1386
824,1795,1388
825,1794,1391
826,1800,1388
827,1801,1391
828,1805,1396
829,1809,1401
830,1815,1401
831,1817,1404
832,1821,1402
833,1820,1400
834,1815,1406
835,1816,1403
836,1820,1401
837,1820,1405
838,1818,1403
839,1815,1407
840,1816,1407
841,1819,1408
842,1820,1414
843,1815,1414
844,1816,1417
845,1813,1418
846,1815,1421
847,1810,1416
848,1814,1420
849,1809,1420
850,1808,1421
851,1806,1418
852,1802,1421
853,1801,1422
854,1809,1422
855,1813,1426
856,1808,1421
857,1804,1417
858,1806,1418
859,1811,1419
860,1811,1422
861,1811,1423
862,1809,1423
863,1815,1424
864,1817,1429
865,1822,1424
866,1822,1420
867,1818,1425
868,1821,1426
869,1823,1421
870,1820,1417
871,1815,1415
872,1817,1420
873,1812,1421
874,1810,1417
875,1806,1413
876,1802,1409
877,1804,1412
878,1805,1410
879,1801,1411
880,1808,1406
881,1813,1401
882,1819,1403
883,1815,1403
884,1809,1407
885,1803,1409
886,1801,1411
887,1797,1410
888,1796,1411
889,1791,1416
890,1792,1412
891,1790,1409
892,1792,1408
893,1787,1406
894,1790,1402
895,1798,1399
896,1794,1398
897,1791,1397
898,1788,1394
899,1790,1398
900,1797,1402
901,1796,1406
902,1799,1411
903,1796,1411
904,1802,1411
905,1801,1411
906,1799,1414
907,1807,1409
908,1812,1414
909,1806,1418
910,1808,1415
911,1803,1415
912,1798,1415
913,1804,1419
914,1810,1425
915,1818,1429
916,1812,1431
917,1814,1433
918,1812,1428
919,1820,1432
920,1817,1428
921,1822,1424
922,1829,1420
923,1829,1417
924,1828,1412
925,1825,1415
926,1821,1418
927,1815,1420
928,1823,1417
929,1818,1413
930,1814,1413
931,1813,1412
932,1812,1411
933,1808,1407
934,1811,1410
935,1812,1415
936,1817,1421
937,1815,1416
938,1812,1411
939,1806,1416
940,1810,1418
941,1813,1413
942,1819,1419
943,1822,1416
944,1826,1421
945,1828,1423
946,1833,1421
947,1828,1422
948,1826,1418
949,1820,1422
950,1815,1419
951,1815,1416
952,1814,1415
953,1820,1412
954,1823,1418
955,1819,1416
956,1827,1418
957,1830,1422
958,1829,1423
959,1837,1420
960,1840,1421
961,1844,1425
962,1852,1420
963,1849,1424
964,1852,1420
965,1852,1420
966,1858,1424
967,1863,1424
968,1866,1421
969,1872,1420
970,1874,1419
971,1870,1414
972,1870,1420
973,1875,1424
974,1876,1425
975,1884,1423
976,1889,1428
977,1892,1433
978,1888,1439
979,1885,1445
980,1891,1444
981,1889,1447
982,1887,1447
983,1891,1445
984,1896,1446
985,1896,1451
986,1901,1451
987,1897,1446
988,1893,1444
989,1898,1442
990,1905,1437
991,1901,1436
992,1896,1440
993,1890,1439
994,1893,1439
995,1895,1442
996,1893,1439
997,1891,1442
998,1887,1448
999,1889,1454
1000,1897,1457
1001,1898,1456
1002,1892,1455
1003,1891,1457
1004,1892,1459
1005,1890,1463
1006,1885,1458
1007,1889,1462
1008,1883,1466
1009,1886,1468
1010,1882,1470
1011,1884,1465
1012,1880,1460
1013,1878,1465
1014,1874,1469
1015,1878,1464
1016,1879,1464
1017,1883,1470
1018,1889,1465
1019,1897,1468
1020,1901,1472
1021,1897,1476
1022,1903,1472
1023,1911,1472
1024,1913,1478
1025,1912,1475
1026,1909,1479
1027,1914,1485
1028,1921,1483
1029,1927,1479
1030,1929,1485
1031,1925,1485
1032,1929,1485
1033,1926,1483
1034,1922,1479
1035,1922,1478
1036,1929,1474
1037,1933,1478
1038,1931,1484
1039,1929,1488
1040,1935,1490
1041,1934,1492
1042,1932,1498
1043,1940,1501
1044,1940,1503
1045,1935,1507
1046,1932,1503
1047,1932,1507
1048,1938,1505
1049,1941,1504
1050,1939,1505
1051,1939,1509
1052,1937,1506
1053,1931,1501
1054,1938,1497
1055,1935,1497
1056,1936,1493
1057,1942,1498
1058,1941,1501
1059,1939,1496
1060,1934,1500
1061,1933,1504
1062,1938,1505
1063,1932,1505
1064,1927,1507
1065,1935,1511
1066,1943,1507
1067,1942,1504
1068,1941,1503
1069,1935,1504
1070,1932,1504
1071,1935,1510
1072,1929,1514
1073,1925,1516
1074,1920,1515
1075,1916,1516
1076,1923,1515
1077,1928,1510
1078,1924,1516
1079,1921,1515
1080,1920,1514
1081,1927,1509
1082,1933,1512
1083,1941,1508
1084,1935,1506
1085,1942,1507
1086,1937,1505
1087,1938,1500
1088,1940,1498
1089,1939,1504
1090,1942,1504
1091,1948,1509
1092,1942,1515
1093,1950,1510
1094,1956,1512
1095,1962,1507
1096,1963,1504
1097,1968,1500
1098,1969,1499
1099,1973,1498
1100,1976,1500
1101,1974,1503
1102,1970,1501
1103,1968,1501
1104,1968,1501
1105,1968,1503
1106,1967,1498
1107,1962,1503
1108,1964,1508
1109,1959,1505
1110,1965,1510
1111,1962,1516
1112,1963,1514
1113,1965,1511
1114,1968,1511
1115,1962,1515
1116,1961,1518
1117,1962,1514
1118,1965,1516
1119,1961,1512
1120,1962,1510
1121,1968,1511
1122,1973,1508
1123,1971,1509
1124,1976,1515
1125,1983,1517
1126,1980,1513
1127,1974,1519
1128,1973,1519
1129,1967,1517
1130,1973,1514
1131,1969,1516
1132,1964,1512
1133,1970,1507
1134,1965,1505
1135,1961,1507
1136,1960,1511
1137,1956,1513
1138,1950,1512
1139,1949,1517
1140,1949,1513
1141,1956,1508
1142,1953,1507
1143,1961,1504
1144,1961,1500
1145,1964,1502
1146,1972,1503
1147,1968,1508
1148,1962,1514
1149,1959,1519
1150,1956,1517
1151,1950,1523
1152,1946,1526
1153,1942,1523
1154,1938,1518
1155,1932,1518
1156,1933,1514
1157,1935,1520
1158,1933,1515
1159,1930,1516
1160,1933,1517
1161,1939,1518
1162,1937,1514
1163,1935,1518
1164,1933,1522
1165,1927,1521
1166,1923,1521
1167,1919,1519
1168,1920,1523
1169,1928,1520
1170,1933,1526
1171,1939,1528
1172,1946,1524
1173,1954,1529
1174,1953,1527
1175,1953,1530
1176,1961,1530
1177,1964,1532
1178,1960,1531
1179,1954,1532
1180,1948,1537
1181,1942,1536
1182,1946,1538
1183,1947,1538
1184,1947,1536
1185,1941,1539
1186,1937,1537
1187,1932,1532
1188,1940,1527
1189,1942,1529
1190,1946,1524
1191,1944,1521
1192,1943,1523
1193,1944,1524
1194,1951,1526
1195,1948,1528
1196,1946,1531
1197,1950,1537
1198,1946,1542
1199,1953,1547
1200,1949,1542
1201,1944,1548
1202,1940,1547
1203,1936,1542
1204,1935,1545
1205,1932,1548
1206,1927,1544
1207,1931,1545
1208,1934,1540
1209,1937,1545
1210,1941,1544
1211,1946,1548
1212,1945,1545
1213,1945,1542
1214,1953,1547
1215,1957,1543
1216,1955,1542
1217,1962,1544
1218,1968,1546
1219,1966,1541
1220,1960,1541
1221,1959,1546
1222,1966,1544
1223,1968,1539
1224,1970,1543
1225,1969,1548
1226,1974,1548
1227,1971,1550
1228,1973,1551
1229,1980,1548
1230,1977,1545
1231,1983,1540
1232,1982,1535
1233,1979,1535
1234,1977,1533
1235,1980,1529
1236,1978,1533
1237,1977,1535
1238,1982,1540
1239,1983,1535
1240,1989,1536
1241,1988,1534
1242,1985,1537
1243,1983,1539
1244,1985,1537
1245,1988,1542
1246,1986,1541
1247,1994,1543
1248,1995,1545
1249,1996,1543
1250,1990,1548
1251,1990,1545
1252,1994,1541
1253,1989,1544
1254,1990,1541
1255,1984,1536
1256,1979,1537
1257,1980,1543
1258,1978,1545
1259,1982,1547
1260,1984,1544
1261,1981,1548
1262,1981,1547
1263,1984,1545
1264,1987,1544
1265,1992,1543
1266,1992,1547
1267,1995,1553
1268,1991,1552
1269,1989,1552
1270,1984,1557
1271,1982,1557
1272,1981,1555
1273,1983,1558
1274,1986,1556
1275,1984,1552
1276,1981,1558
1277,1987,1556
1278,1987,1561
1279,1984,1564
1280,1987,1569
1281,1981,1564
1282,1979,1566
1283,1977,1567
1284,1981,1568
1285,1987,1563
1286,1991,1564
1287,1996,1560
1288,1994,1566
1289,1992,1568
1290,1999,1567
1291,2003,1564
1292,2002,1563
1293,1997,1560
1294,1993,1565
1295,1992,1565
1296,1989,1566
1297,1996,1570
1298,1990,1566
1299,1992,1561
1300,1993,1564
1301,1993,1564
1302,1999,1562
1303,2002,1560
1304,1998,1559
1305,2000,1563
1306,2005,1558
1307,2003,1558
1308,1997,1556
1309,2001,1552
1310,1998,1554
1311,2006,1549
1312,2004,1553
1313,2008,1556
1314,2007,1557
1315,2015,1552
1316,2017,1555
1317,2023,1561
1318,2020,1560
1319,2017,1566
1320,2019,1571
1321,2022,1574
1322,2018,1572
1323,2015,1576
1324,2015,1576
1325,2012,1580
1326,2008,1575
1327,2011,1576
1328,2005,1579
1329,2009,1585
1330,2007,1582
1331,2004,1578
1332,2006,1578
1333,2004,1578
1334,2003,1576
1335,2004,1579
1336,2004,1574
1337,2005,1572
1338,2009,1573
1339,2008,1575
1340,2003,1580
1341,2000,1582
1342,1998,1585
1343,1993,1591
1344,1993,1591
1345,2000,1594
1346,2007,1593
1347,2007,1595
1348,2006,1591
1349,2002,1596
1350,1996,1597
1351,2003,1596
1352,1997,1591
1353,2004,1590
1354,2002,1588
1355,2002,1590
1356,2007,1594
1357,2007,1600
1358,2013,1602
1359,2019,1601
1360,2020,1604
1361,2024,1599
1362,2028,1604
1363,2025,1604
1364,2029,1602
1365,2031,1601
1366,2037,1601
1367,2042,1596
1368,2038,1591
1369,2045,1597
1370,2047,1597
1371,2044,1592
1372,2046,1598
1373,2044,1601
1374,2047,1601
1375,2046,1596
1376,2042,1598
1377,2044,1602
1378,2039,1597
1379,2045,1597
1380,2050,1599
1381,2057,1596
1382,2065,1593
1383,2068,1588
1384,2070,1590
1385,2066,1586
1386,2063,1587
1387,2064,1584
1388,2061,1588
1389,2062,1587
1390,2061,1591
1391,2061,1591
1392,2058,1590
1393,2055,1588
1394,2059,1591
1395,2055,1595
1396,2060,1595
1397,2056,1597
1398,2062,1603
1399,2068,1598
1400,2073,1596
1401,2077,1593
1402,2080,1597
1403,2085,1594
1404,2086,1591
1405,2088,1595
1406,2096,1599
1407,2092,1604
1408,2098,1602
1409,2097,1603
1410,2105,1608
1411,2100,1613
1412,2108,1616
1413,2111,1615
1414,2111,1617
1415,2107,1618
1416,2114,1622
1417,2112,1618
1418,2119,1621
1419,2127,1625
1420,2127,1630
1421,2127,1630
1422,2123,1636
1423,2123,1640
1424,2117,1644
1425,2119,1644
1426,2122,1643
1427,2119,1643
1428,2118,1645
1429,2121,1642
1430,2116,1644
1431,2112,1648
1432,2119,1654
1433,2124,1649
1434,2132,1654
1435,2135,1654
1436,2129,1650
1437,2126,1649
1438,2126,1655
1439,2121,1655
1440,2122,1656
1441,2116,1651
1442,2114,1651
1443,2115,1654
1444,2118,1660
1445,2124,1666
1446,2119,1661
1447,2124,1666
1448,2126,1662
1449,2121,1667
1450,2129,1671
1451,2130,1669
1452,2137,1669
1453,2142,1671
1454,2137,1666
1455,2138,1669
1456,2137,1674
1457,2137,1673
1458,2141,1676
1459,2138,1680
1460,2143,1681
1461,2138,1677
1462,2136,1680
1463,2131,1675
1464,2136,1673
1465,2133,1671
1466,2139,1672
1467,2137,1669
1468,2144,1674
1469,2151,1678
1470,2155,1681
1471,2152,1683
1472,2157,1680
1473,2165,1675
1474,2170,1678
1475,2169,1681
1476,2172,1686
1477,2173,1685
1478,2171,1681
1479,2167,1684
1480,2166,1680
1481,2161,1679
1482,2162,1685
1483,2161,1691
1484,2167,1690
1485,2164,1686
1486,2171,1681
1487,2166,1687
1488,2170,1686
1489,2164,1682
1490,2162,1686
1491,2156,1682
1492,2158,1688
1493,2164,1689
1494,2161,1684
1495,2159,1682
1496,2162,1680
1497,2159,1676
1498,2161,1675
1499,2155,1676
1500,2161,1672
1501,2163,1669
1502,2159,1670
1503,2156,1674
1504,2157,1673
1505,2160,1675
1506,2155,1675
1507,2150,1670
1508,2151,1671
1509,2156,1670
1510,2163,1676
1511,2168,1671
1512,2175,1672
1513,2172,1674
1514,2173,1678
1515,2174,1675
1516,2173,1675
1517,2178,1673
1518,2183,1673
1519,2179,1672
1520,2185,1674
1521,2182,1672
1522,2183,1678
1523,2182,1681
1524,2179,1679
1525,2186,1685
1526,2193,1681
1527,2194,1677
1528,2199,1681
1529,2204,1678
1530,2205,1683
1531,2203,1680
1532,2204,1679
1533,2211,1685
1534,2210,1691
1535,2206,1691
1536,2210,1686
1537,2212,1682
1538,2212,1681
1539,2207,1684
1540,2201,1683
1541,2208,1685
1542,2207,1687
1543,2202,1683
1544,2202,1687
1545,2204,1690
1546,2209,1694
1547,2213,1694
1548,2220,1690
1549,2223,1691
1550,2217,1689
1551,2222,1695
1552,2226,1690
1553,2231,1694
1554,2231,1697
1555,2234,1695
1556,2240,1696
1557,2237,1692
1558,2231,1687
1559,2229,1685
1560,2225,1688
1561,2225,1694
1562,2230,1694
1563,2236,1700
1564,2244,1695
1565,2238,1698
1566,2242,1700
1567,2243,1696
1568,2245,1697
1569,2244,1700
1570,2252,1700
1571,2253,1700
1572,2248,1705
1573,2254,1705
1574,2256,1707
1575,2255,1710
1576,2263,1709
1577,2268,1714
1578,2272,1712
1579,2279,1718
1580,2279,1716
1581,2283,1720
1582,2277,1723
1583,2283,1726
1584,2285,1726
1585,2285,1730
1586,2284,1727
1587,2287,1723
1588,2282,1721
1589,2283,1721
1590,2285,1719
1591,2287,1722
1592,2285,1722
1593,2292,1726
1594,2292,1731
1595,2293,1729
1596,2294,1725
1597,2292,1727
1598,2296,1729
1599,2302,1724
1600,2297,1723
1601,2304,1724
1602,2301,1724
1603,2296,1721
1604,2302,1721
1605,2310,1725
1606,2316,1728
1607,2321,1725
1608,2325,1726
1609,2326,1730
1610,2332,1727
1611,2336,1731
1612,2338,1734
1613,2343,1729
1614,2340,1727
1615,2340,1726
1616,2339,1732
1617,2346,1728
1618,2346,1726
1619,2343,1724
1620,2349,1728
1621,2352,1724
1622,2352,1723
1623,2359,1728
1624,2360,1731
1625,2365,1735
1626,2365,1730
1627,2370,1736
1628,2365,1733
1629,2361,1736
1630,2359,1735
1631,2366,1741
1632,2365,1747
1633,2359,1749
1634,2353,1752
1635,2347,1753
1636,2342,1755
1637,2338,1751
1638,2340,1753
1639,2341,1757
1640,2348,1758
1641,2343,1753
1642,2337,1753
1643,2334,1752
1644,2342,1753
1645,2349,1755
1646,2346,1750
1647,2345,1746
1648,2353,1747
1649,2358,1742
1650,2355,1748
1651,2363,1746
1652,2357,1746
1653,2362,1750
1654,2365,1754
1655,2363,1753
1656,2359,1755
1657,2360,1756
1658,2367,1756
1659,2367,1755
1660,2361,1752
1661,2364,1754
1662,2363,1755
1663,2359,1757
1664,2354,1753
1665,2358,1755
1666,2364,1755
1667,2369,1750
1668,2368,1749
1669,2376,1750
